交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2015/1/5,DO1,201503,-,-,-,-,-,-,-,15.25,11,-,-,16.95,15.2,,
2015/1/6,DO1,201503,-,-,-,-,-,-,-,14.75,11,-,-,16.95,15.2,,
2015/1/7,DO1,201503,-,-,-,-,-,-,-,14.8,11,-,-,16.95,15.2,,
2015/1/8,DO1,201503,-,-,-,-,-,-,-,15.25,11,-,-,16.95,15.2,,
2015/1/9,DO1,201503,-,-,-,-,-,-,-,15.3,11,-,-,16.95,15.2,,
2015/1/12,DO1,201503,-,-,-,-,-,-,-,15.3,11,-,-,16.95,15.2,,
2015/1/13,DO1,201503,-,-,-,-,-,-,-,15.4,11,-,-,16.95,15.2,,
2015/1/14,DO1,201503,-,-,-,-,-,-,-,15.4,11,-,-,16.95,15.2,,
2015/1/15,DO1,201503,-,-,-,-,-,-,-,15.35,11,-,-,16.95,15.2,,
2015/1/16,DO1,201503,-,-,-,-,-,-,-,15.1,11,-,-,16.95,15.2,,
2015/1/19,DO1,201503,-,-,-,-,-,-,-,15.15,11,-,-,16.95,15.2,,
2015/1/20,DO1,201503,-,-,-,-,-,-,-,15.3,11,-,-,16.95,15.2,,
2015/1/21,DO1,201503,-,-,-,-,-,-,-,15.35,11,15.2,15.5,16.95,15.2,,
2015/1/22,DO1,201503,-,-,-,-,-,-,-,15.4,11,15.3,15.6,16.95,15.2,,
2015/1/23,DO1,201503,-,-,-,-,-,-,-,15.6,11,15.4,15.65,16.95,15.2,,
2015/1/26,DO1,201503,-,-,-,-,-,-,-,15.55,11,-,15.6,16.95,15.2,,
2015/1/27,DO1,201503,-,-,-,-,-,-,-,15.55,11,15.45,15.75,16.95,15.2,,
2015/1/28,DO1,201503,-,-,-,-,-,-,-,15.5,11,15.4,15.7,16.95,15.2,,
2015/1/29,DO1,201503,-,-,-,-,-,-,-,15.35,11,15.2,15.45,16.95,15.2,,
2015/1/30,DO1,201503,-,-,-,-,-,-,-,15.25,11,15.15,15.45,16.95,15.2,,
2015/2/2,DO1,201503,-,-,-,-,-,-,-,15.15,11,15.1,15.35,16.95,15.2,,
2015/2/3,DO1,201503,-,-,-,-,-,-,-,15.25,11,15.15,15.4,16.95,15.2,,
2015/2/4,DO1,201503,-,-,-,-,-,-,-,15.6,11,15.55,15.8,16.95,15.2,,
2015/2/5,DO1,201503,-,-,-,-,-,-,-,15.5,11,15.5,15.75,16.95,15.2,,
2015/2/6,DO1,201503,-,-,-,-,-,-,-,15.45,11,15.35,15.65,16.95,15.2,,
2015/2/9,DO1,201503,-,-,-,-,-,-,-,15.55,11,15.5,15.75,16.95,15.2,,
2015/2/10,DO1,201503,-,-,-,-,-,-,-,15.45,11,15.4,15.65,16.95,15.2,,
2015/2/11,DO1,201503,-,-,-,-,-,-,-,15.45,11,15.4,-,16.95,15.2,,
2015/2/12,DO1,201503,-,-,-,-,-,-,-,15.5,11,15.4,15.65,16.95,15.2,,
2015/2/13,DO1,201503,-,-,-,-,-,-,-,15.55,11,15.4,15.65,16.95,15.2,,
2015/2/24,DO1,201503,-,-,-,-,-,-,-,15.75,11,15.55,-,16.95,15.2,,
2015/2/25,DO1,201503,-,-,-,-,-,-,-,15.8,11,15.65,-,16.95,15.2,,
2015/2/26,DO1,201503,-,-,-,-,-,-,-,15.9,11,15.6,15.9,16.95,15.2,,
2015/3/2,DO1,201503,-,-,-,-,-,-,-,15.95,11,15.8,16.05,16.95,15.2,,
2015/3/3,DO1,201503,-,-,-,-,-,-,-,15.9,11,15.7,16,16.95,15.2,,
2015/3/4,DO1,201503,-,-,-,-,-,-,-,15.95,11,15.8,16.05,16.95,15.2,,
2015/3/5,DO1,201503,15.8,15.85,15.75,15.85,-0.1,-0.63%,200,15.8,13,15.75,15.9,16.95,15.2,,
2015/3/6,DO1,201503,15.9,15.9,15.9,15.9,0.1,0.63%,50,15.95,13,15.8,16.05,16.95,15.2,,
2015/3/9,DO1,201503,15.8,15.9,15.8,15.85,-0.1,-0.63%,160,15.8,23,15.4,15.95,16.95,15.2,,
2015/3/10,DO1,201503,15.8,15.8,15.65,15.7,-0.1,-0.63%,102,15.7,48,15.65,15.8,16.95,15.2,,
2015/3/11,DO1,201503,15.55,15.6,15.55,15.55,-0.15,-0.96%,45,15.55,56,15.5,15.6,16.95,15.2,,
2015/3/12,DO1,201503,15.55,15.65,15.55,15.6,0.05,0.32%,83,15.65,55,15.5,15.75,16.95,15.2,,
2015/3/13,DO1,201503,15.65,15.65,15.6,15.6,-0.05,-0.32%,2,15.55,53,15.45,15.7,16.95,15.2,,
2015/3/16,DO1,201503,15.55,15.65,15.55,15.6,0.05,0.32%,200,15.6,53,15.5,15.75,16.95,15.2,,
2015/3/17,DO1,201503,15.65,15.65,15.6,15.6,0,0.00%,24,15.5,72,15.5,15.7,16.95,15.2,,
2015/3/18,DO1,201503,-,-,-,-,-,-,-,0.0,72,15.6,-,16.95,15.2,,
2015/8/13,DO1,201508,13.8,13.8,13.55,13.55,0,0.00%,32,13.55,672,-,13.8,17.2,13.55,,
2015/8/13,DO1,201509,13.55,13.7,13.55,13.55,0,0.00%,17,13.55,929,-,-,15.55,13.55,,
2015/8/14,DO1,201508,13.9,14.8,13.9,14.25,0.7,5.17%,136,14.35,624,-,14.35,17.2,13.55,,
2015/8/14,DO1,201509,14.1,14.75,14.1,14.2,0.65,4.80%,98,14.35,918,-,14.35,15.55,13.55,,
2015/8/17,DO1,201508,13.85,13.85,13.85,13.85,-0.5,-3.48%,7,13.8,624,-,13.85,17.2,13.55,,
2015/8/17,DO1,201509,13.85,13.85,13.8,13.8,-0.55,-3.83%,32,13.8,916,13.8,14.4,15.55,13.55,,
2015/8/18,DO1,201508,13.9,13.9,13.4,13.4,-0.4,-2.90%,38,13.55,638,-,13.55,17.2,13.4,,
2015/8/18,DO1,201509,13.7,13.7,13.7,13.7,-0.1,-0.72%,25,13.5,916,-,13.75,15.55,13.55,,
2015/8/19,DO1,201508,13.4,13.4,13.05,13.15,-0.4,-2.95%,96,0.0,625,-,13.15,17.2,13.05,,
2015/8/19,DO1,201509,13.2,13.2,13.1,13.1,-0.4,-2.96%,41,13.05,919,13,13.8,15.55,13.1,,
2015/8/20,DO1,201509,13.05,13.15,13.05,13.15,0.1,0.77%,16,13.1,915,13.05,-,15.55,13.05,,
2015/8/21,DO1,201509,12.7,12.75,12.7,12.75,-0.35,-2.67%,10,12.65,915,-,-,15.55,12.7,,
2015/8/24,DO1,201509,11.4,11.4,11.4,11.4,-1.25,-9.88%,30,11.9,915,-,-,15.55,11.4,,
2015/8/25,DO1,201509,-,-,-,-,-,-,-,12.45,915,-,-,15.55,11.4,,
2015/8/26,DO1,201509,-,-,-,-,-,-,-,12.6,915,-,-,15.55,11.4,,
2015/8/27,DO1,201509,12.65,12.65,12.65,12.65,0.05,0.40%,25,12.75,913,-,-,15.55,11.4,,
2015/8/28,DO1,201509,13,13,13,13,0.25,1.96%,20,13.0,893,-,13.1,15.55,11.4,,
2015/8/31,DO1,201509,12.8,12.9,12.8,12.9,-0.1,-0.77%,11,13.0,887,12.9,13,15.55,11.4,,
2015/9/1,DO1,201509,13,13,12.9,12.9,-0.1,-0.77%,10,12.9,882,12.85,13,15.55,11.4,,
2015/9/2,DO1,201509,-,-,-,-,-,-,-,12.95,882,-,13,15.55,11.4,,
2015/9/3,DO1,201509,-,-,-,-,-,-,-,12.85,882,-,13.1,15.55,11.4,,
2015/9/4,DO1,201509,-,-,-,-,-,-,-,12.7,882,-,13.1,15.55,11.4,,
2015/9/7,DO1,201509,-,-,-,-,-,-,-,12.8,882,-,13,15.55,11.4,,
2015/9/8,DO1,201509,-,-,-,-,-,-,-,12.8,882,12.8,-,15.55,11.4,,
2015/9/9,DO1,201509,13,13.4,13,13.35,0.55,4.30%,128,13.4,832,13.2,13.4,15.55,11.4,,
2015/9/10,DO1,201509,13.2,13.25,13.2,13.25,-0.15,-1.12%,30,13.35,847,-,13.4,15.55,11.4,,
2015/9/11,DO1,201509,13.3,13.3,13.3,13.3,-0.05,-0.37%,40,13.3,877,13.15,13.35,15.55,11.4,,
2015/9/14,DO1,201509,13.25,13.25,13.25,13.25,-0.05,-0.38%,5,13.3,877,13.2,13.4,15.55,11.4,,
2015/9/15,DO1,201509,13.3,13.3,13.25,13.25,-0.05,-0.38%,60,13.1,827,13,13.35,15.55,11.4,,
2015/9/16,DO1,201509,12.95,12.95,12.95,12.95,-0.15,-1.15%,80,0.0,817,12.9,13.1,15.55,11.4,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,Unnamed: 17
2016/3/10,DO1,201603,11.7,11.9,11.7,11.85,0.05,0.42%,55,11.8,1277,11.85,11.95,15.1,11.7,,
2016/3/10,DO1,201606,-,-,-,-,-,-,-,11.8,2,-,-,15.05,13.05,,
2016/3/11,DO1,201603,11.85,11.85,11.8,11.8,0,0.00%,14,11.85,1263,11.75,12.3,15.1,11.7,,
2016/3/11,DO1,201606,-,-,-,-,-,-,-,11.85,2,10.95,12.65,15.05,13.05,,
2016/3/14,DO1,201603,-,-,-,-,-,-,-,11.8,1263,11,12,15.1,11.7,,
2016/3/14,DO1,201606,-,-,-,-,-,-,-,11.8,2,11,12.7,15.05,13.05,,
2016/3/15,DO1,201603,-,-,-,-,-,-,-,11.4,1263,-,11.8,15.1,11.7,,
2016/3/15,DO1,201606,-,-,-,-,-,-,-,11.4,2,-,12.65,15.05,13.05,,
2016/3/16,DO1,201603,-,-,-,-,-,-,-,0.0,1263,11.15,12.2,15.1,11.7,,
2016/3/16,DO1,201606,-,-,-,-,-,-,-,11.55,2,10.6,12.2,15.05,13.05,,
2016/3/17,DO1,201606,-,-,-,-,-,-,-,11.7,2,11.65,12.3,15.05,13.05,,
2016/3/18,DO1,201606,-,-,-,-,-,-,-,11.8,2,11.7,12.4,15.05,13.05,,
2016/3/21,DO1,201606,-,-,-,-,-,-,-,11.8,2,11,12.5,15.05,13.05,,
2016/3/22,DO1,201606,-,-,-,-,-,-,-,11.55,2,11,12.55,15.05,13.05,,
2016/3/23,DO1,201606,-,-,-,-,-,-,-,11.6,2,10.75,12.35,15.05,13.05,,
2016/3/24,DO1,201606,-,-,-,-,-,-,-,11.6,2,10.8,12.4,15.05,13.05,,
2016/3/25,DO1,201606,-,-,-,-,-,-,-,11.5,2,10.8,12.4,15.05,13.05,,
2016/3/28,DO1,201606,-,-,-,-,-,-,-,11.55,2,10.7,12.3,15.05,13.05,,
2016/3/29,DO1,201606,-,-,-,-,-,-,-,11.4,2,10.75,12.35,15.05,13.05,,
2016/3/30,DO1,201606,-,-,-,-,-,-,-,11.6,2,10.6,12.2,15.05,13.05,,
2016/3/31,DO1,201606,-,-,-,-,-,-,-,11.5,2,10.8,12.4,15.05,13.05,,
2016/4/1,DO1,201606,-,-,-,-,-,-,-,11.35,2,10.7,12.3,15.05,13.05,,
2016/4/6,DO1,201606,-,-,-,-,-,-,-,11.3,2,10.55,12.15,15.05,13.05,,
2016/4/7,DO1,201606,-,-,-,-,-,-,-,10.95,2,-,-,15.05,13.05,,
2016/4/8,DO1,201606,-,-,-,-,-,-,-,10.85,2,10.2,11.7,15.05,13.05,,
2016/4/11,DO1,201606,-,-,-,-,-,-,-,10.85,2,10.1,11.6,15.05,13.05,,
2016/4/12,DO1,201606,-,-,-,-,-,-,-,10.65,2,10.1,11.6,15.05,13.05,,
2016/4/13,DO1,201606,-,-,-,-,-,-,-,10.75,2,9.9,11.4,15.05,13.05,,
2016/4/14,DO1,201606,-,-,-,-,-,-,-,10.85,2,10,11.5,15.05,13.05,,
2016/4/15,DO1,201606,-,-,-,-,-,-,-,10.95,2,10.1,11.6,15.05,13.05,,
2016/4/18,DO1,201606,-,-,-,-,-,-,-,10.9,2,10.2,11.7,15.05,13.05,,
2016/4/19,DO1,201606,-,-,-,-,-,-,-,10.75,2,10.15,11.65,15.05,13.05,,
2016/4/20,DO1,201606,-,-,-,-,-,-,-,10.65,2,10,11.5,15.05,13.05,,
2016/4/21,DO1,201606,-,-,-,-,-,-,-,10.65,2,9.9,11.4,15.05,13.05,,
2016/4/22,DO1,201606,-,-,-,-,-,-,-,10.75,2,9.9,11.4,15.05,13.05,,
2016/4/25,DO1,201606,-,-,-,-,-,-,-,10.75,2,10,11.5,15.05,13.05,,
2016/4/26,DO1,201606,-,-,-,-,-,-,-,10.9,2,10,11.5,15.05,13.05,,
2016/4/27,DO1,201606,-,-,-,-,-,-,-,10.95,2,10.15,11.65,15.05,13.05,,
2016/4/28,DO1,201606,10.9,10.9,10.7,10.7,-0.25,-2.28%,10,10.65,2,10.65,10.9,15.05,10.7,,
2016/4/29,DO1,201606,-,-,-,-,-,-,-,10.7,2,9.9,11.4,15.05,10.7,,
2016/5/3,DO1,201606,-,-,-,-,-,-,-,10.65,2,-,-,15.05,10.7,,
2016/5/4,DO1,201606,-,-,-,-,-,-,-,10.3,2,-,11.4,15.05,10.7,,
2016/5/5,DO1,201606,-,-,-,-,-,-,-,10.3,2,9.58,11,15.05,10.7,,
2016/5/6,DO1,201606,-,-,-,-,-,-,-,10.15,2,9.58,11,15.05,10.7,,
2016/5/9,DO1,201606,-,-,-,-,-,-,-,10.2,2,9.44,10.85,15.05,10.7,,
2016/5/10,DO1,201606,-,-,-,-,-,-,-,10.25,2,9.49,10.9,15.05,10.7,,
2016/5/11,DO1,201606,-,-,-,-,-,-,-,10.1,2,9.53,10.95,15.05,10.7,,
2016/5/12,DO1,201606,-,-,-,-,-,-,-,10.2,2,9.39,10.8,15.05,10.7,,
2016/5/13,DO1,201606,-,-,-,-,-,-,-,10.1,2,9.49,10.9,15.05,10.7,,
2016/5/16,DO1,201606,-,-,-,-,-,-,-,10.2,2,9.39,10.8,15.05,10.7,,
2016/5/17,DO1,201606,-,-,-,-,-,-,-,10.2,2,9.49,10.9,15.05,10.7,,
2016/5/18,DO1,201606,-,-,-,-,-,-,-,10.15,2,9.49,10.9,15.05,10.7,,
2016/5/19,DO1,201606,-,-,-,-,-,-,-,10.2,2,9.44,10.85,15.05,10.7,,
2016/5/20,DO1,201606,-,-,-,-,-,-,-,10.2,2,9.49,10.9,15.05,10.7,,
2016/5/23,DO1,201606,-,-,-,-,-,-,-,10.55,2,9.49,10.9,15.05,10.7,,
2016/5/24,DO1,201606,-,-,-,-,-,-,-,10.35,2,-,-,15.05,10.7,,
2016/5/25,DO1,201606,-,-,-,-,-,-,-,10.6,2,9.63,11.05,15.05,10.7,,
2016/5/26,DO1,201606,-,-,-,-,-,-,-,10.45,2,9.86,11.35,15.05,10.7,,
2016/5/27,DO1,201606,-,-,-,-,-,-,-,10.75,2,9.72,11.2,15.05,10.7,,
2016/5/30,DO1,201606,-,-,-,-,-,-,-,10.8,2,10,11.5,15.05,10.7,,
2016/5/31,DO1,201606,-,-,-,-,-,-,-,10.95,2,10.05,-,15.05,10.7,,
2016/6/1,DO1,201606,10.95,10.95,10.95,10.95,0,0.00%,6,11.0,8,10.9,11.7,15.05,10.7,,
2016/6/2,DO1,201606,-,-,-,-,-,-,-,10.7,8,10.25,11.75,15.05,10.7,,
2016/6/3,DO1,201606,-,-,-,-,-,-,-,10.6,8,9.95,11.45,15.05,10.7,,
2016/6/4,DO1,201606,-,-,-,-,-,-,-,10.6,8,9.86,11.35,15.05,10.7,,
2016/6/6,DO1,201606,-,-,-,-,-,-,-,10.6,8,9.86,11.35,15.05,10.7,,
2016/6/7,DO1,201606,-,-,-,-,-,-,-,10.7,8,9.86,11.35,15.05,10.7,,
2016/6/8,DO1,201606,-,-,-,-,-,-,-,10.75,8,9.95,11.45,15.05,10.7,,
2016/6/13,DO1,201606,-,-,-,-,-,-,-,10.4,8,-,11.5,15.05,10.7,,
2016/6/14,DO1,201606,-,-,-,-,-,-,-,10.4,8,9.67,11.15,15.05,10.7,,
2016/6/15,DO1,201606,-,-,-,-,-,-,-,0.0,8,9.67,11.15,15.05,10.7,,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量,Unnamed: 19
2020/08/17,DO1,202008  ,18.35,19.05,18.35,18.95,0.6,3.27%,161.0,18.95,600,18.8,18.95,20.5,17.5,,一般,,
2020/08/17,DO1,202009  ,18.4,18.95,18.4,18.9,0.55,3.00%,80.0,18.9,509,18.8,18.95,19.35,15.65,,一般,,
2020/08/17,DO1,202012  ,-,-,-,-,-,-,0.0,19,6,-,-,19.35,15.65,,一般,,
2020/08/18,DO1,202008  ,18.7,18.75,18.7,18.75,-0.2,-1.06%,19.0,18.75,585,18.75,18.8,20.5,17.5,,一般,,
2020/08/18,DO1,202009  ,18.75,18.8,18.75,18.8,-0.1,-0.53%,7.0,18.8,512,18.75,18.9,19.35,15.65,,一般,,
2020/08/18,DO1,202012  ,-,-,-,-,-,-,0.0,18.8,6,-,-,19.35,15.65,,一般,,
2020/08/19,DO1,202008  ,18.85,19.05,18.85,19,0.25,1.33%,84.0,0,564,18.85,19,20.5,17.5,,一般,,
2020/08/19,DO1,202009  ,18.85,19,18.85,18.9,0.1,0.53%,106.0,18.9,516,18.85,18.9,19.35,15.65,,一般,,
2020/08/19,DO1,202012  ,18.95,18.95,18.95,18.95,0.15,0.80%,1.0,18.95,5,-,-,19.35,15.65,,一般,,
2020/08/20,DO1,202009  ,18.9,18.95,18.35,18.45,-0.45,-2.38%,113.0,18.5,498,-,-,19.35,15.65,,一般,,
2020/08/20,DO1,202012  ,-,-,-,-,-,-,0.0,18.55,5,-,-,19.35,15.65,,一般,,
2020/08/21,DO1,202009  ,18.5,18.6,18.5,18.6,0.1,0.54%,2.0,18.6,498,-,-,19.35,15.65,,一般,,
2020/08/21,DO1,202012  ,-,-,-,-,-,-,0.0,18.65,5,-,-,19.35,15.65,,一般,,
2020/08/24,DO1,202009  ,-,-,-,-,-,-,0.0,18.5,498,18.4,18.6,19.35,15.65,,一般,,
2020/08/24,DO1,202012  ,-,-,-,-,-,-,0.0,18.4,5,18.3,-,19.35,15.65,,一般,,
2020/08/25,DO1,202009  ,-,-,-,-,-,-,0.0,18.5,498,18.4,18.7,19.35,15.65,,一般,,
2020/08/25,DO1,202012  ,-,-,-,-,-,-,0.0,18.4,5,18.3,-,19.35,15.65,,一般,,
2020/08/26,DO1,202009  ,18.4,18.4,18.4,18.4,-0.1,-0.54%,10.0,18.4,490,18.35,18.4,19.35,15.65,,一般,,
2020/08/26,DO1,202012  ,-,-,-,-,-,-,0.0,18.3,5,18.25,-,19.35,15.65,,一般,,
2020/08/27,DO1,202009  ,18.4,18.4,18.35,18.35,-0.05,-0.27%,12.0,18.35,490,16.65,18.5,19.35,15.65,,一般,,
2020/08/27,DO1,202012  ,-,-,-,-,-,-,0.0,18.25,5,16.55,-,19.35,15.65,,一般,,
2020/08/28,DO1,202009  ,-,-,-,-,-,-,0.0,18.45,490,18.35,18.5,19.35,15.65,,一般,,
2020/08/28,DO1,202012  ,-,-,-,-,-,-,0.0,18.35,5,18.25,-,19.35,15.65,,一般,,
2020/08/31,DO1,202009  ,-,-,-,-,-,-,0.0,18.4,490,16.7,18.55,19.35,15.65,,一般,,
2020/08/31,DO1,202012  ,18.3,18.3,18.3,18.3,-0.05,-0.27%,1.0,18.3,4,16.6,-,19.35,15.65,,一般,,
2020/08/17,DO1,202008/202009    ,0,0,0,0,-,-,8.0,-,-,-0.02,0.01,0,-0.04,,一般,6.0,
2020/08/18,DO1,202008/202009    ,0.01,0.01,0,0,-,-,4.0,-,-,0,0.06,0.01,-0.04,,一般,2.0,
2020/08/19,DO1,202008/202009    ,0,0,0,0,-,-,23.0,-,-,-,-,0.01,-0.04,,一般,9.0,
2020/09/01,DO1,202009  ,18.4,18.4,18.4,18.4,0,0.00%,1.0,18.35,490,-,-,19.35,15.65,,一般,,
2020/09/01,DO1,202012  ,-,-,-,-,-,-,0.0,18.25,4,-,-,19.35,15.65,,一般,,
2020/09/02,DO1,202009  ,18.35,18.35,18.35,18.35,0,0.00%,42.0,18.3,473,-,18.55,19.35,15.65,,一般,,
2020/09/02,DO1,202012  ,-,-,-,-,-,-,0.0,18.2,4,-,-,19.35,15.65,,一般,,
2020/09/03,DO1,202009  ,18.4,18.65,18.4,18.4,0.1,0.55%,275.0,18.4,373,16.6,18.8,19.35,15.65,,一般,,
2020/09/03,DO1,202012  ,-,-,-,-,-,-,0.0,18.3,4,16.5,-,19.35,15.65,,一般,,
2020/09/04,DO1,202009  ,18.25,18.25,18.25,18.25,-0.15,-0.82%,1.0,18.25,373,18.15,18.25,19.35,15.65,,一般,,
2020/09/04,DO1,202012  ,-,-,-,-,-,-,0.0,18.15,4,18.05,-,19.35,15.65,,一般,,
2020/09/07,DO1,202009  ,-,-,-,-,-,-,0.0,18.25,373,18.25,18.3,19.35,15.65,,一般,,
2020/09/07,DO1,202012  ,-,-,-,-,-,-,0.0,18.15,4,18.15,-,19.35,15.65,,一般,,
2020/09/08,DO1,202009  ,18.35,18.35,18.35,18.35,0.1,0.55%,6.0,18.35,370,16.5,18.4,19.35,15.65,,一般,,
2020/09/08,DO1,202012  ,-,-,-,-,-,-,0.0,18.25,4,16.4,-,19.35,15.65,,一般,,
2020/09/09,DO1,202009  ,-,-,-,-,-,-,0.0,18.15,370,16.85,18.4,19.35,15.65,,一般,,
2020/09/09,DO1,202012  ,-,-,-,-,-,-,0.0,18.05,4,-,-,19.35,15.65,,一般,,
2020/09/10,DO1,202009  ,18.2,18.2,18.2,18.2,0.05,0.28%,5.0,18.25,370,16.85,19.6,19.35,15.65,,一般,,
2020/09/10,DO1,202012  ,-,-,-,-,-,-,0.0,18.15,4,-,-,19.35,15.65,,一般,,
2020/09/11,DO1,202009  ,-,-,-,-,-,-,0.0,18.2,370,16.5,18.25,19.35,15.65,,一般,,
2020/09/11,DO1,202012  ,-,-,-,-,-,-,0.0,18.1,4,-,-,19.35,15.65,,一般,,
2020/09/14,DO1,202009  ,18.15,18.2,18.15,18.2,0,0.00%,7.0,18.2,365,18.25,18.35,19.35,15.65,,一般,,
2020/09/14,DO1,202012  ,-,-,-,-,-,-,0.0,18.1,4,-,-,19.35,15.65,,一般,,
2020/09/15,DO1,202009  ,18.25,18.25,18.25,18.25,0.05,0.27%,1.0,18.25,364,16.7,19.6,19.35,15.65,,一般,,
2020/09/15,DO1,202012  ,-,-,-,-,-,-,0.0,18.15,4,-,-,19.35,15.65,,一般,,
2020/09/16,DO1,202009  ,18.35,18.35,18.35,18.35,0.1,0.55%,30.0,0,362,-,18.4,19.35,15.65,,一般,,
2020/09/16,DO1,202012  ,-,-,-,-,-,-,0.0,18.25,4,-,-,19.35,15.65,,一般,,
2020/09/17,DO1,202012  ,-,-,-,-,-,-,0.0,18.2,4,-,-,19.35,15.65,,一般,,
2020/09/18,DO1,202012  ,-,-,-,-,-,-,0.0,18.2,4,-,-,19.35,15.65,,一般,,
2020/09/21,DO1,202012  ,-,-,-,-,-,-,0.0,17.9,4,-,-,19.35,15.65,,一般,,
2020/09/22,DO1,202012  ,-,-,-,-,-,-,0.0,17.65,4,-,-,19.35,15.65,,一般,,
2020/09/23,DO1,202012  ,-,-,-,-,-,-,0.0,17.75,4,-,-,19.35,15.65,,一般,,
2020/09/24,DO1,202012  ,-,-,-,-,-,-,0.0,17.15,4,-,-,19.35,15.65,,一般,,
2020/09/25,DO1,202012  ,-,-,-,-,-,-,0.0,17.3,4,-,-,19.35,15.65,,一般,,
2020/09/28,DO1,202012  ,-,-,-,-,-,-,0.0,17.7,4,-,-,19.35,15.65,,一般,,
2020/09/29,DO1,202012  ,-,-,-,-,-,-,0.0,17.65,4,-,-,19.35,15.65,,一般,,
2020/09/30,DO1,202012  ,-,-,-,-,-,-,0.0,17.8,4,-,-,19.35,15.65,,一般,,
2020/10/05,DO1,202012  ,-,-,-,-,-,-,0.0,17.85,4,-,-,19.35,15.65,,一般,,
2020/10/06,DO1,202012  ,-,-,-,-,-,-,0.0,18.1,4,-,-,19.35,15.65,,一般,,
2020/10/07,DO1,202012  ,-,-,-,-,-,-,0.0,17.9,4,-,-,19.35,15.65,,一般,,
2020/10/08,DO1,202012  ,-,-,-,-,-,-,0.0,18.1,4,-,-,19.35,15.65,,一般,,
2020/10/12,DO1,202012  ,-,-,-,-,-,-,0.0,18.1,4,-,-,19.35,15.65,,一般,,
2020/10/13,DO1,202012  ,-,-,-,-,-,-,0.0,18.1,4,-,-,19.35,15.65,,一般,,
2020/10/14,DO1,202012  ,-,-,-,-,-,-,0.0,18.15,4,-,-,19.35,15.65,,一般,,
2020/10/15,DO1,202012  ,-,-,-,-,-,-,0.0,18,4,-,-,19.35,15.65,,一般,,
2020/10/16,DO1,202012  ,-,-,-,-,-,-,0.0,17.9,4,-,-,19.35,15.65,,一般,,
2020/10/19,DO1,202012  ,-,-,-,-,-,-,0.0,17.75,4,-,-,19.35,15.65,,一般,,
2020/10/20,DO1,202012  ,-,-,-,-,-,-,0.0,17.8,4,-,-,19.35,15.65,,一般,,
2020/10/21,DO1,202012  ,-,-,-,-,-,-,0.0,17.8,4,-,-,19.35,15.65,,一般,,
2020/10/22,DO1,202012  ,-,-,-,-,-,-,0.0,18.1,4,-,-,19.35,15.65,,一般,,
2020/10/23,DO1,202012  ,-,-,-,-,-,-,0.0,17.95,4,-,-,19.35,15.65,,一般,,
2020/10/26,DO1,202012  ,17.95,17.95,17.95,17.95,0,0.00%,3.0,17.95,1,-,-,19.35,15.65,,一般,,
2020/10/27,DO1,202012  ,-,-,-,-,-,-,0.0,17.9,1,-,-,19.35,15.65,,一般,,
2020/10/28,DO1,202012  ,-,-,-,-,-,-,0.0,17.8,1,-,-,19.35,15.65,,一般,,
2020/10/29,DO1,202012  ,-,-,-,-,-,-,0.0,17.7,1,-,-,19.35,15.65,,一般,,
2020/10/30,DO1,202012  ,-,-,-,-,-,-,0.0,17.75,1,-,-,19.35,15.65,,一般,,
2020/11/02,DO1,202012  ,-,-,-,-,-,-,0.0,18,1,-,-,19.35,15.65,,一般,,
2020/11/03,DO1,202012  ,-,-,-,-,-,-,0.0,18.05,1,-,-,19.35,15.65,,一般,,
2020/11/04,DO1,202012  ,18,18.05,18,18.05,0,0.00%,3.0,18.05,4,-,-,19.35,15.65,,一般,,
2020/11/05,DO1,202012  ,18.05,18.05,18.05,18.05,0,0.00%,1.0,18.15,5,-,-,19.35,15.65,,一般,,
2020/11/06,DO1,202012  ,-,-,-,-,-,-,0.0,18.2,5,-,-,19.35,15.65,,一般,,
2020/11/09,DO1,202012  ,-,-,-,-,-,-,0.0,18.35,5,-,-,19.35,15.65,,一般,,
2020/11/10,DO1,202012  ,-,-,-,-,-,-,0.0,18.45,5,-,-,19.35,15.65,,一般,,
2020/11/11,DO1,202012  ,-,-,-,-,-,-,0.0,19,5,-,-,19.35,15.65,,一般,,
2020/11/12,DO1,202012  ,18.7,18.7,18.7,18.7,-0.3,-1.58%,2.0,18.7,3,-,-,19.35,15.65,,一般,,
2020/11/13,DO1,202012  ,18.65,18.65,18.65,18.65,-0.05,-0.27%,2.0,18.55,1,-,-,19.35,15.65,,一般,,
2020/11/16,DO1,202012  ,-,-,-,-,-,-,0.0,18.75,1,-,-,19.35,15.65,,一般,,
2020/11/17,DO1,202012  ,-,-,-,-,-,-,0.0,18.9,1,-,-,19.35,15.65,,一般,,
